name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"13617, USA",2020-07-17,85.5,68.4,75.1,85.8,68.4,75.4,65.3,73.91,0.23,,33.33,,0,0,20.8,11.6,225.1,1015,31.2,90.4,,,0,,2020-07-17T05:32:04,2020-07-17T20:41:02,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-07-18,87.6,66.6,76.9,89.2,66.6,77.7,64.4,67.11,0,,0,,0,0,23.7,13.5,221,1015.1,5.3,90.7,,,0,,2020-07-18T05:33:01,2020-07-18T20:40:13,0.98,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-07-19,89.1,70.6,79.3,95,70.6,81.7,68.6,70.39,0.01,,4.17,,0,0,28.8,17.5,214.5,1007.9,8.8,90.1,,,0,,2020-07-19T05:33:59,2020-07-19T20:39:22,1,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-07-20,84.4,70.5,77.3,85.3,70.5,77.7,65.4,68.65,0.2,,8.33,,0,0,25.6,14.9,246.3,1008.4,34.1,90.2,,,0,,2020-07-20T05:34:58,2020-07-20T20:38:28,1,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-07-21,78.2,61.9,69.7,78.2,61.9,69.7,57.7,67.81,0,,0,,0,0,,6.9,263.9,1016.6,25,90.9,,,0,,2020-07-21T05:35:58,2020-07-21T20:37:33,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-07-22,74.9,58.1,67,74.9,58.1,67,61,81.81,0.04,,12.5,,0,0,,6.8,52.7,1015.9,21.7,90.6,,,0,,2020-07-22T05:36:58,2020-07-22T20:36:36,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-07-23,79.6,64.9,70.6,79.6,64.9,70.6,64.2,81.58,0.05,,4.17,,0,0,,6.1,163.8,1015.5,39.1,90,,,0,,2020-07-23T05:38:00,2020-07-23T20:35:36,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-07-24,84.5,55.3,70.9,83.1,55.3,70.6,57.7,68.13,0,,0,,0,0,,5.7,121.9,1019.5,9.1,90.1,,,0,,2020-07-24T05:39:02,2020-07-24T20:34:35,0.09,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-07-25,87,57.3,73.3,85.7,57.3,73,57.9,62.93,0,,0,,0,0,20.8,13.4,242.3,1017.4,3,90.9,,,0,,2020-07-25T05:40:05,2020-07-25T20:33:32,0.14,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-07-26,89.6,70.2,79.6,94.3,70.2,81.6,65.3,62.47,0,,0,,0,0,26.6,18.5,225.3,1011.5,18.6,94,,,0,,2020-07-26T05:41:08,2020-07-26T20:32:27,0.19,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-07-27,88.5,73.7,78.7,97.9,73.7,80.7,71.4,78.82,1.29,,41.67,,0,0,28.4,16,230.5,1005.3,43.4,87.3,,,0,,2020-07-27T05:42:13,2020-07-27T20:31:21,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-07-28,84.1,68.6,76.9,83.6,68.6,76.9,62.4,63.24,0,,4.17,,0,0,25,15.5,239.3,1006.4,5.4,90,,,0,,2020-07-28T05:43:17,2020-07-28T20:30:12,0.31,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-07-29,82.4,64.5,72.2,82.9,64.5,72.4,62.1,72.26,0.03,,4.17,,0,0,26.4,15.1,216.3,1009.7,22.2,90.1,,,0,,2020-07-29T05:44:23,2020-07-29T20:29:02,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-07-30,80.3,62.6,69.5,81.4,62.6,69.6,61.8,78.26,0.24,,12.5,,0,0,24.2,9.4,235.8,1010.2,11.9,90.7,,,0,,2020-07-30T05:45:29,2020-07-30T20:27:50,0.41,Rain,Clear conditions throughout the day with rain.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-07-31,82.8,57.3,70.3,82.6,57.3,70.4,59.7,72.57,0,,0,,0,0,,6.4,166.4,1011.6,4.5,90.1,,,0,,2020-07-31T05:46:35,2020-07-31T20:26:37,0.45,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-08-01,85,58.4,72.3,84.4,58.4,72.3,60,69.33,0,,0,,0,0,,3.5,146.9,1013.6,3.2,91.2,,,0,,2020-08-01T05:47:42,2020-08-01T20:25:22,0.47,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-08-02,81.2,65.9,71.4,84.9,65.9,71.9,66.5,84.69,1.22,,45.83,,0,0,30,13.3,117.8,1008.5,32.4,89.5,,,0,,2020-08-02T05:48:49,2020-08-02T20:24:05,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-08-03,78.8,64.1,71.4,78.8,64.1,71.4,63.3,76.88,0.06,,25,,0,0,34.4,16.7,220.4,1011.8,36,90.1,,,0,,2020-08-03T05:49:57,2020-08-03T20:22:47,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-08-04,70.5,65.2,67.5,70.5,65.2,67.5,65.4,93.04,0.94,,75,,0,0,20.8,8,96,1011.8,38.3,89.7,,,0,,2020-08-04T05:51:04,2020-08-04T20:21:27,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-08-05,73.7,62.4,67.9,73.7,62.4,67.9,59.4,76.48,0.61,,45.83,,0,0,25.6,15.4,234.5,1012.6,34,94.6,,,0,,2020-08-05T05:52:13,2020-08-05T20:20:06,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-08-06,75.5,54.4,65,75.5,54.4,65,54.1,69.94,0,,0,,0,0,,8,248.9,1019.5,3.9,91.1,,,0,,2020-08-06T05:53:21,2020-08-06T20:18:43,0.54,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-08-07,79.8,51.4,66.4,79.8,51.4,66.4,55.3,71.29,0,,0,,0,0,,5.8,117.3,1021,1,91.2,,,0,,2020-08-07T05:54:30,2020-08-07T20:17:19,0.57,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-08-08,83,55.2,69.9,83.3,55.2,70,59.4,72.65,0,,0,,0,0,,5.9,174.4,1020,3.8,90.8,,,0,,2020-08-08T05:55:39,2020-08-08T20:15:53,0.61,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-08-09,77.5,65.8,70,77.5,65.8,70,64.6,83.55,0.11,,29.17,,0,0,25.3,11.4,231.3,1017,33.3,90.6,,,0,,2020-08-09T05:56:48,2020-08-09T20:14:26,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-08-10,84,62.2,72,89.5,62.2,72.9,67.3,85.87,0.08,,8.33,,0,0,24.2,8.4,262.9,1014.3,29.1,89,,,0,,2020-08-10T05:57:57,2020-08-10T20:12:58,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-08-11,88.3,67.4,76.9,92,67.4,78.1,67.5,74.85,0,,0,,0,0,27.7,14.5,226.3,1010.1,11.2,89.7,,,0,,2020-08-11T05:59:07,2020-08-11T20:11:29,0.74,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-08-12,84,64.3,73.7,83.4,64.3,73.8,62.1,69.93,0,,0,,0,0,,9.4,232.8,1016.4,7.7,90.8,,,0,,2020-08-12T06:00:17,2020-08-12T20:09:58,0.79,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-08-13,85.4,58.4,71.7,84.7,58.4,71.6,59,67.8,0,,0,,0,0,,7,189,1020,6.1,91.1,,,0,,2020-08-13T06:01:26,2020-08-13T20:08:26,0.84,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-08-14,79.7,59.7,69.3,79.7,59.7,69.3,57.3,68.14,0,,0,,0,0,23,10.7,51.3,1019.9,1.5,91.1,,,0,,2020-08-14T06:02:36,2020-08-14T20:06:53,0.89,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-08-15,83.3,53.3,68.5,83.5,53.3,68.6,57.5,70.73,0,,0,,0,0,,9.1,58,1017.3,5.7,80.8,,,0,,2020-08-15T06:03:46,2020-08-15T20:05:19,0.93,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-08-16,81.9,62.2,70.9,82.6,62.2,71.1,60.5,71.12,0,,0,,0,0,26.4,8.6,158.4,1014.6,26.5,90.7,,,0,,2020-08-16T06:04:56,2020-08-16T20:03:44,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-08-17,76.8,61.9,68.4,76.8,61.9,68.4,62,81.37,0.46,,37.5,,0,0,21.9,7.6,229.2,1010.9,36.5,91,,,0,,2020-08-17T06:06:06,2020-08-17T20:02:07,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-08-18,72.9,56.6,64.6,72.9,56.6,64.6,56.4,76.27,0.04,,12.5,,0,0,24.2,11,273.3,1010.1,19.9,90.3,,,0,,2020-08-18T06:07:16,2020-08-18T20:00:30,1,Rain,Clear conditions throughout the day with rain.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-08-19,70.1,53.2,61,70.1,53.2,61,52.2,75.15,0,,4.17,,0,0,17.2,9.9,293.3,1015,19.4,90.7,,,0,,2020-08-19T06:08:27,2020-08-19T19:58:52,0,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-08-20,71.7,46.1,61,71.7,46.1,61,51,72.18,0,,0,,0,0,20.8,7.2,187.9,1016,23.7,90.4,,,0,,2020-08-20T06:09:37,2020-08-20T19:57:13,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-08-21,74.6,62.3,67.3,74.6,62.3,67.3,61.6,82.34,0.29,,33.33,,0,0,19.7,9.8,233.2,1011.4,38.8,90.4,,,0,,2020-08-21T06:10:47,2020-08-21T19:55:32,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-08-22,80,58.7,68.7,80,58.7,68.7,59.4,75.03,0,,0,,0,0,,6.6,266.8,1013.4,18.7,90.1,,,0,,2020-08-22T06:11:57,2020-08-22T19:53:51,0.08,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-08-23,83.7,62.6,72.2,86.4,62.6,72.9,65.5,80.92,0.66,,29.17,,0,0,24.2,5.6,188.7,1015.4,21.1,90.6,,,0,,2020-08-23T06:13:08,2020-08-23T19:52:09,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-08-24,82.4,64.8,72,86,64.8,72.4,66.7,84.01,0.33,,25,,0,0,20.8,9.7,186.4,1013.1,25.9,90.1,,,0,,2020-08-24T06:14:18,2020-08-24T19:50:27,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-08-25,76.3,60.6,70.8,76.3,60.6,70.8,59.7,69.16,0,,0,,0,0,27.5,17.1,282.7,1009,39.5,50,,,0,,2020-08-25T06:15:28,2020-08-25T19:48:43,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-08-26,65,48,57,65,45.1,56.7,44.9,65.33,0,,0,,0,0,24.1,13.1,297.9,1015.1,6.5,80.6,,,0,,2020-08-26T06:16:38,2020-08-26T19:46:59,0.29,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-08-27,61.7,50.7,56.5,61.7,50.7,56.5,52.5,86.7,0.28,,33.33,,0,0,21.9,7.1,124.4,1007.8,41.1,89.8,,,0,,2020-08-27T06:17:48,2020-08-27T19:45:14,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-08-28,71.9,55.4,62.2,71.9,55.4,62.2,54.5,77.88,0.01,,8.33,,0,0,,7,268.4,1010,30.4,90.2,,,0,,2020-08-28T06:18:58,2020-08-28T19:43:28,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-08-29,70.1,58.4,62.2,70.1,58.4,62.2,59.7,91.6,1.35,,70.83,,0,0,31.4,12.8,131.7,998.6,41.5,100.2,,,0,,2020-08-29T06:20:09,2020-08-29T19:41:41,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-08-30,68.5,53.9,60.4,68.5,53.9,60.5,51.2,73.22,0,,4.17,,0,0,24.2,11.4,291.3,1007.2,29.3,106.6,,,0,,2020-08-30T06:21:19,2020-08-30T19:39:54,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-08-31,71.9,46.9,59.6,71.9,46.9,59.6,50.3,74.77,0,,0,,0,0,,5.2,150.5,1017.4,11.1,101.2,,,0,,2020-08-31T06:22:29,2020-08-31T19:38:07,0.49,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-09-01,74.2,57.9,67.4,74.2,57.9,67.4,59.5,76.38,0,,0,,0,0,19.7,11.3,158.3,1016.1,54.4,90.8,,,0,,2020-09-01T06:23:39,2020-09-01T19:36:19,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-09-02,78.7,64.7,71.2,78.7,64.7,71.2,64.2,78.9,0.36,,8.33,,0,0,37.8,18.5,193.8,1007,47.9,89.7,,,0,,2020-09-02T06:24:49,2020-09-02T19:34:30,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-09-03,75.5,54.4,65.6,75.5,54.4,65.6,57.8,77.86,0.04,,8.33,,0,0,19.5,11,224.6,1007.2,3.2,121.9,,,0,,2020-09-03T06:25:59,2020-09-03T19:32:41,0.51,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-09-04,69.8,53.7,62.3,69.8,53.7,62.3,52.4,71.66,0.05,,16.67,,0,0,32.2,14.6,247.2,1010.5,21.9,90.2,,,0,,2020-09-04T06:27:09,2020-09-04T19:30:51,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-09-05,70.8,48.6,58.7,70.8,47.2,58.6,48.5,71.08,0.19,,20.83,,0,0,25,13.2,247.8,1018.9,15.3,88.3,,,0,,2020-09-05T06:28:19,2020-09-05T19:29:01,0.55,Rain,Clear conditions throughout the day with rain.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-09-06,68.1,47.3,56.8,68.1,45.6,56.5,48.7,77.36,0,,4.17,,0,0,,6.1,200.4,1020.9,2.5,107.8,,,0,,2020-09-06T06:29:29,2020-09-06T19:27:10,0.58,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-09-07,77,50.7,66.6,77,50.7,66.6,56.7,71.69,0.09,,12.5,,0,0,34.6,20.3,184.1,1011.2,27.4,90.2,,,0,,2020-09-07T06:30:39,2020-09-07T19:25:19,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-09-08,66.6,53.9,60.6,66.6,53.9,60.6,54.9,81.95,0.17,,37.5,,0,0,,7.8,156.8,1020.4,50.9,91.1,,,0,,2020-09-08T06:31:49,2020-09-08T19:23:28,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-09-09,62.6,54.1,58.1,62.6,54.1,58.1,54.8,88.78,0,,0,,0,0,,8.4,47.3,1025.2,56.1,90.3,,,0,,2020-09-09T06:32:59,2020-09-09T19:21:37,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-09-10,62.1,54,57.5,62.1,54,57.4,54.3,89.42,0.01,,8.33,,0,0,,8.9,251.1,1024.6,60.1,88.9,,,0,,2020-09-10T06:34:09,2020-09-10T19:19:45,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-09-11,61.3,43.6,53.1,61.3,43.6,53.1,45.5,76.64,0.01,,4.17,,0,0,,7.8,48.8,1027.4,39.2,93.5,,,0,,2020-09-11T06:35:19,2020-09-11T19:17:53,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-09-12,69.8,37.4,53.9,69.8,37.4,53.8,45.5,75.84,0,,0,,0,0,,6.7,68.3,1024.7,4.4,91.4,,,0,,2020-09-12T06:36:29,2020-09-12T19:16:00,0.86,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-09-13,68,57.1,62.7,68,57.1,62.7,57.2,82.17,0.52,,29.17,,0,0,25.9,14.8,189.6,1013.3,39.9,90.8,,,0,,2020-09-13T06:37:40,2020-09-13T19:14:08,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-09-14,61.2,41.3,54.4,61.2,41.3,54.4,44.6,70.95,0,,4.17,,0,0,23,10.7,311.8,1023,20.4,91.4,,,0,,2020-09-14T06:38:50,2020-09-14T19:12:15,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-09-15,58.9,34.8,47.5,58.9,34.8,47.5,40.4,78.38,0,,0,,0,0,,5.7,215.1,1026.3,15.3,91.6,,,0,,2020-09-15T06:40:00,2020-09-15T19:10:22,0.98,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-09-16,71.6,49.2,61.7,71.6,47.6,61.6,47.8,61.61,0,,0,,0,0,27.4,18.9,206.8,1014.8,4,91.7,,,0,,2020-09-16T06:41:10,2020-09-16T19:08:29,1,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-09-17,63.7,40.9,55.4,63.7,40.9,55.3,46.3,72.27,0.01,,8.33,,0,0,21.9,10.2,185.2,1017.8,39.1,75.6,,,0,,2020-09-17T06:42:21,2020-09-17T19:06:36,0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-09-18,56.6,32.8,44.6,56.6,32.8,43.9,32.2,66.09,0,,0,,0,0,21.9,11.5,201.8,1022.8,15.1,86,,,0,,2020-09-18T06:43:31,2020-09-18T19:04:43,0.01,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-09-19,55.1,31.1,42.8,55.1,29.8,42.2,31.6,68.46,0,,0,,0,0,,6.6,214.8,1029.5,6.2,91.9,,,0,,2020-09-19T06:44:42,2020-09-19T19:02:49,0.03,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-09-20,59.2,36.3,45.9,59.2,36.3,45.9,34.5,68.78,0,,0,,0,0,,6.1,120.7,1035,15.3,92.3,,,0,,2020-09-20T06:45:53,2020-09-20T19:00:56,0.07,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-09-21,62.2,29.8,45,62.2,29.8,45,34.1,70.41,0,,0,,0,0,,5.2,98.4,1034.9,0.6,92,,,0,,2020-09-21T06:47:04,2020-09-21T18:59:03,0.11,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-09-22,65.7,31.4,48.2,65.7,31.4,48.1,38.4,72.92,0,,0,,0,0,,5.5,191.8,1022.1,2.5,91,,,0,,2020-09-22T06:48:15,2020-09-22T18:57:10,0.16,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-09-23,73.7,51.9,60.3,73.7,51.9,60.3,51.2,73.8,0,,0,,0,0,21.3,12.1,255.7,1010.6,31.3,90.4,,,0,,2020-09-23T06:49:26,2020-09-23T18:55:17,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-09-24,70,52.2,59.8,70,52.2,59.8,53.3,80.36,0,,0,,0,0,,7.1,232,1013.4,15.1,88.6,,,0,,2020-09-24T06:50:37,2020-09-24T18:53:24,0.27,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-09-25,68.4,52.2,58,68.4,52.2,58,47,67.54,0,,0,,0,0,,8,68.6,1017.9,27.1,90.9,,,0,,2020-09-25T06:51:48,2020-09-25T18:51:31,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-09-26,78.8,47.3,62.4,78.8,47.3,62.4,52.5,73.9,0,,0,,0,0,19.5,12.2,170.6,1014.6,1.4,90.6,,,0,,2020-09-26T06:53:00,2020-09-26T18:49:39,0.37,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-09-27,80.5,61.5,69.6,81,61.5,69.6,59.4,72.09,0,,0,,0,0,28.2,18.3,192.2,1009.9,1.8,90.3,,,0,,2020-09-27T06:54:12,2020-09-27T18:47:47,0.41,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-09-28,79.8,61.2,69.7,79.8,61.2,69.7,61.4,76.2,0.01,,4.17,,0,0,27.7,9.6,142.8,1008,30.8,89.9,,,0,,2020-09-28T06:55:24,2020-09-28T18:45:54,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-09-29,71.5,55,62.9,71.5,55,62.9,57.9,84.29,0.25,,66.67,,0,0,33.3,11.1,194.6,1007.6,41.5,89.5,,,0,,2020-09-29T06:56:36,2020-09-29T18:44:03,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-09-30,59.3,51.7,54.8,59.3,51.7,54.7,50.9,87.52,0.79,,83.33,,0,0,34.4,16.4,210.1,1001.3,42.3,88.8,,,0,,2020-09-30T06:57:48,2020-09-30T18:42:11,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-10-01,62.1,47.4,54.8,62.1,47.4,54.7,48.9,81.7,0.33,,62.5,,0,0,24.2,14.2,227.3,1008.3,37.6,89.3,,,0,,2020-10-01T06:59:01,2020-10-01T18:40:20,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2020-10-02,53.6,42.1,47.8,53.6,41.3,47.6,45.3,91.08,0.14,,33.33,,0,0,,6.8,260.7,1014.6,36.9,89.8,,,0,,2020-10-02T07:00:14,2020-10-02T18:38:29,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
